,price,superficie,chambres,bains,city
1790,345000.0,75.0,1,1,tunis
1794,350000.0,128.0,4,3,sousse
1795,460000.0,153.0,3,2,sousse
1797,160000.0,50.0,1,1,sousse
1798,270000.0,110.0,2,1,sousse
1801,90000.0,79.0,2,1,sfax
1824,680000.0,217.0,3,1,manouba
1828,195000.0,100.0,2,1,manouba
1836,320000.0,83.0,1,1,nabeul
1842,300000.0,200.0,3,1,tunis
1847,980000.0,480.0,4,1,ben arous
1852,310000.0,135.0,3,1,tunis
1853,395000.0,106.0,3,2,tunis
1855,100000.0,100.0,3,1,tunis
1867,80000.0,85.0,2,1,sousse
1869,950000.0,450.0,5,5,sousse
1871,1700000.0,616.0,8,3,ariana
1874,570000.0,110.0,2,1,monastir
1875,350000.0,135.0,2,1,sousse
1876,350000.0,139.0,2,2,tunis
1879,310000.0,117.0,3,1,tunis
1880,780000.0,380.0,5,3,ben arous
1905,190000.0,115.0,2,1,ariana
1908,430000.0,671.0,4,1,ben arous
1911,1250000.0,500.0,5,3,tunis
1915,180000.0,140.0,4,1,ben arous
1916,320000.0,130.0,3,2,ariana
1917,650000.0,500.0,4,4,ariana
1919,217000.0,98.0,2,1,monastir
1920,120000.0,66.0,2,1,tunis
1922,171000.0,68.0,1,1,tunis
1923,135000.0,125.0,3,1,tunis
1946,470000.0,292.0,6,2,nabeul
1947,680000.0,500.0,5,3,sfax
1957,259000.0,120.0,2,2,sousse
1958,200000.0,56.0,1,1,sousse
1959,310000.0,114.0,2,2,tunis
1960,159000.0,63.0,2,1,tunis
1980,360000.0,140.0,3,1,tunis
1981,600000.0,158.0,3,2,tunis
1983,195000.0,161.0,4,1,tunis
1988,150000.0,106.0,4,2,tunis
1993,178000.0,75.0,2,1,monastir
1994,420000.0,153.0,3,2,ariana
1995,860000.0,400.0,3,3,sousse
1996,1350000.0,434.0,5,3,sousse
2003,495000.0,500.0,3,2,sousse
2011,155000.0,105.0,3,2,ariana
2018,100000.0,280.0,2,1,nabeul
2027,3099998.0,672.0,5,3,tunis
2029,1990000.0,450.0,5,4,tunis
2035,180000.0,236.0,2,1,medenine
2037,275000.0,120.0,3,1,monastir
2042,1600000.0,450.0,5,3,tunis
2043,850000.0,450.0,7,4,tunis
2052,1100000.0,600.0,10,5,tunis
2053,125000.0,85.0,2,1,sousse
2055,265000.0,97.0,2,1,tunis
2056,335000.0,114.0,5,2,sousse
2060,240000.0,95.0,2,1,nabeul
2067,2000000.0,100.0,2,1,sousse
2069,380000.0,112.0,3,1,ariana
2070,820000.0,500.0,4,4,nabeul
2071,750000.0,242.0,3,2,nabeul
2075,180000.0,100.0,3,1,nabeul
2091,730000.0,330.0,6,4,tunis
2096,120000.0,49.0,1,1,tunis
2101,630000.0,417.0,4,2,tunis
2104,319000.0,120.0,2,1,ariana
2106,152000.0,42.0,2,1,tunis
2107,198000.0,100.0,3,2,tunis
2108,700000.0,35.0,1,1,tunis
2109,600000.0,90.0,3,1,manouba
2111,155000.0,48.0,2,1,tunis
2112,270000.0,130.0,2,1,ben arous
2113,165000.0,50.0,1,1,ariana
2115,178000.0,85.0,2,1,nabeul
2127,159999.0,100.0,0,1,nabeul
2130,540000.0,158.0,3,2,nabeul
2131,240000.0,150.0,2,1,nabeul
2132,3000000.0,150.0,3,1,nabeul
2133,210000.0,182.0,3,1,nabeul
2134,250000.0,100.0,1,1,nabeul
2137,170000.0,100.0,3,1,manouba
2142,890000.0,340.0,4,3,nabeul
2147,190000.0,56.0,1,1,ariana
2149,235000.0,120.0,2,1,nabeul
2150,140000.0,65.0,2,1,tunis
2153,105000.0,65.0,1,1,tunis
2157,335000.0,108.0,2,1,sousse
2158,270000.0,100.0,4,2,sousse
2163,450000.0,355.0,4,2,ariana
2164,170000.0,92.0,3,1,ariana
2165,185000.0,92.0,3,1,ariana
2167,115000.0,61.0,1,1,ariana
2169,190000.0,134.0,4,2,ariana
2170,1900000.0,502.0,5,4,ariana
2171,695000.0,480.0,7,4,ariana
2173,1000000.0,672.0,6,4,ariana
2174,380000.0,441.0,5,3,ariana
2175,230000.0,150.0,5,2,ariana
2197,380000.0,107.0,2,2,nabeul
2206,290000.0,69.0,1,1,nabeul
2210,285000.0,120.0,3,1,ariana
2213,255000.0,102.5,2,1,monastir
2217,350000.0,140.0,6,2,tunis
2219,255000.0,140.0,5,2,tunis
2222,3200000.0,174.0,4,2,tunis
2224,570000.0,128.0,2,2,nabeul
2228,255000.0,104.0,2,1,ben arous
2232,1000000.0,350.0,9,3,ben arous
2234,178000.0,96.0,2,1,ben arous
2235,2100000.0,450.0,8,1,tunis
2236,160000.0,107.0,3,2,ben arous
2241,340000.0,180.0,4,2,ben arous
2245,450000.0,341.0,5,2,ben arous
2246,375000.0,188.0,3,2,ben arous
2252,150000.0,121.0,3,1,ben arous
2253,380000.0,156.0,3,1,nabeul
2254,260000.0,400.0,3,1,ariana
2255,165000.0,95.0,3,1,tunis
2263,180000.0,102.0,2,1,nabeul
2264,235000.0,150.0,3,1,tunis
2265,270000.0,160.0,3,1,tunis
2267,315000.0,143.0,3,1,ben arous
2268,250000.0,170.0,6,3,nabeul
2269,120000.0,32.0,1,1,tunis
2270,400000.0,110.0,3,2,nabeul
2272,420000.0,170.0,3,1,ariana
2273,210000.0,54.0,1,1,tunis
2274,150000.0,78.0,2,1,tunis
2277,110000.0,50.0,1,1,nabeul
2278,190000.0,107.0,3,1,ariana
2281,150000.0,60.0,1,1,nabeul
2282,310000.0,140.0,3,1,tunis
2283,280000.0,83.0,2,1,tunis
2286,1400000.0,650.0,4,4,nabeul
2287,830000.0,400.0,4,4,nabeul
2288,890000.0,500.0,4,4,nabeul
2289,1180000.0,446.0,4,4,nabeul
2296,106000.0,50.0,1,1,manouba
2298,340000.0,116.0,2,2,nabeul
2305,85000.0,50.0,1,1,tunis
2307,320000.0,180.0,5,2,tunis
2340,1200000.0,200.0,4,2,ben arous
2355,250000.0,80.0,2,1,monastir
2372,630000.0,107.0,2,1,tunis
2375,255000.0,110.0,3,2,tunis
2381,250000.0,160.0,6,2,manouba
2383,120000.0,65.0,2,1,tunis
2389,390000.0,140.0,5,2,tunis
2394,592000.0,170.69,2,2,ariana
2395,265000.0,72.0,1,1,ariana
2396,300000.0,103.0,2,1,sousse
2397,780000.0,200.0,3,3,ariana
2400,250000.0,190.0,3,1,ariana
2404,600000.0,175.0,0,1,ariana
2408,150000.0,65.0,1,1,tunis
2410,260000.0,115.0,3,1,tunis
2412,690000.0,300.0,6,2,nabeul
2414,430000.0,220.0,2,2,nabeul
2416,310000.0,180.0,4,2,ben arous
2428,470000.0,130.0,2,2,nabeul
2433,270000.0,200.0,7,2,tunis
2445,350000.0,100.0,3,1,ariana
2449,180000.0,170.0,4,1,sfax
2451,420000.0,105.0,2,1,nabeul
2452,210000.0,110.0,2,1,nabeul
2462,680000.0,307.0,3,3,ariana
2464,135000.0,80.0,2,1,tunis
2472,1300000.0,240.0,3,4,tunis
2476,185000.0,73.0,2,1,ariana
2479,1900000.0,598.0,8,2,tunis
2481,150000.0,100.0,3,2,ariana
2483,200000.0,100.0,3,2,ariana
2484,350000.0,120.0,3,2,ariana
2487,400000.0,150.0,0,1,tunis
2499,245000.0,98.0,2,1,tunis
2502,395000.0,161.0,2,2,ariana
2503,235000.0,91.0,2,1,tunis
2504,370000.0,147.0,3,3,ariana
2505,435000.0,168.0,4,3,ariana
2507,430000.0,160.0,4,2,ariana
2511,1800000.0,670.0,6,2,ariana
2512,200000.0,57.0,1,1,tunis
2514,265000.0,64.0,1,1,nabeul
2518,870000.0,260.0,4,4,tunis
2527,600000.0,212.0,3,2,ariana
2534,600000.0,160.0,4,3,tunis
2535,160000.0,70.0,2,1,ben arous
2541,230000.0,117.0,2,2,nabeul
2548,178000.0,150.0,3,1,nabeul
2576,160000.0,100.0,2,1,nabeul
2578,270000.0,220.0,3,1,tunis
2586,125000.0,60.0,1,1,nabeul
2592,1700000.0,465.0,5,5,ariana
2593,435000.0,165.0,4,2,ariana
2594,285000.0,100.0,3,1,tunis
2595,228000.0,70.0,1,1,ariana
2597,220000.0,145.0,3,1,nabeul
2606,720000.0,300.0,4,2,nabeul
2607,115000.0,110.0,2,1,nabeul
2617,185000.0,152.0,2,1,nabeul
2624,850000.0,386.0,5,5,tunis
2627,179998.0,100.0,0,1,nabeul
2638,110000.0,52.0,2,1,nabeul
2639,370000.0,214.0,2,2,sousse
2643,175000.0,69.0,2,1,sousse
2656,279998.0,116.0,2,1,tunis
2657,165000.0,95.0,2,1,ben arous
2662,178000.0,150.0,3,1,tunis
2663,300000.0,227.0,4,2,tunis
2666,460000.0,136.0,3,2,ariana
2671,89000.0,70.0,2,1,bizerte
2672,265000.0,65.0,1,1,nabeul
2675,100000.0,110.0,3,2,sousse
2683,250000.0,72.0,1,1,nabeul
2694,1350000.0,70.0,1,1,ariana
2699,2500000.0,250.0,4,3,ariana
2702,800000.0,413.0,6,2,ben arous
2704,270000.0,70.0,1,1,tunis
2708,210000.0,88.0,2,1,ariana
2717,115000.0,63.0,2,1,sousse
2718,169000.0,175.0,2,1,sousse
2721,200000.0,75.0,2,2,medenine
2723,460000.0,120.0,2,1,nabeul
2724,315000.0,130.0,2,2,nabeul
2743,350000.0,92.0,2,1,mahdia
2746,200000.0,140.0,2,1,tunis
2757,376758.0,105.47,0,1,sousse
2775,205000.0,127.0,3,1,tunis
2778,1111000.0,400.0,9,3,tunis
2780,150000.0,150.0,2,1,sfax
2787,150000.0,110.0,3,2,sousse
2790,280000.0,331.0,3,1,sfax
2791,201000.0,57.45,1,1,tunis
2799,230000.0,160.0,2,1,tunis
2800,337000.0,134.0,3,1,tunis
2803,1050000.0,400.0,4,3,nabeul
2806,170000.0,80.0,0,1,sousse
2811,240000.0,150.0,2,1,tunis
2826,310000.0,101.0,2,1,sousse
2833,85000.0,487.0,3,2,nabeul
2835,120000.0,240.0,2,1,tunis
2836,800000.0,700.0,8,4,ariana
2840,95000.0,122.0,1,1,ben arous
2842,180000.0,110.0,2,1,nabeul
2844,2700000.0,640.0,9,4,nabeul
2846,290000.0,111.0,2,2,mahdia
2847,580000.0,230.0,2,2,mahdia
2848,130000.0,150.0,2,1,monastir
2849,145000.0,64.0,2,1,monastir
2852,170000.0,75.0,2,1,monastir
2853,180000.0,100.0,2,1,monastir
2859,150000.0,100.0,3,1,ariana
2860,259000.0,230.0,4,1,sousse
2864,530000.0,271.0,3,2,sousse
2866,600000.0,385.0,5,2,tunis
2867,280000.0,61.0,3,2,ariana
2870,750000.0,500.0,4,2,nabeul
2877,130000.0,80.0,2,1,bizerte
2881,779998.0,400.0,2,2,ariana
2888,390000.0,111.0,3,1,ariana
2891,400000.0,120.0,3,1,ariana
2896,175000.0,120.0,2,2,nabeul
2901,130000.0,65.0,3,1,ben arous
2904,320000.0,135.0,3,1,tunis
2907,340000.0,116.0,2,1,nabeul
2909,270000.0,208.0,3,2,nabeul
2915,490000.0,200.0,4,2,tunis
2916,410000.0,109.0,2,1,nabeul
2921,980000.0,110.0,2,1,ariana
2922,245000.0,76.0,1,1,ariana
2924,530000.0,141.0,3,1,nabeul
2927,1200000.0,400.0,4,1,nabeul
2929,1050000.0,400.0,4,1,nabeul
2931,260000.0,46.0,1,1,nabeul
2932,760000.0,185.0,3,1,nabeul
2934,510000.0,190.0,3,1,nabeul
2940,225000.0,120.0,3,1,ariana
2943,750000.0,244.0,5,4,ariana
2944,1200000.0,547.0,5,4,tunis
2946,460000.0,150.0,3,2,ariana
2952,236000.0,60.0,1,1,nabeul
2953,90000.0,80.0,2,1,tunis
2954,310000.0,100.0,2,1,tunis
