price,superficie,chambres,bains,city
267000.0,67.0,2,1.0,Tunis
235000.0,56.0,1,1.0,Nabeul
630000.0,160.0,4,2.0,tunis
180000.0,150.0,3,1.0,tunis
128000.0,80.0,2,1.0,Tunis
185000.0,95.0,2,1.0,Ariana
260000.0,89.0,2,1.0,Ben Arous
1475000.0,600.0,6,3.0,Ben Arous
950000.0,400.0,4,3.0,Nabeul
1200000.0,420.0,4,4.0,tunis
350000.0,91.0,2,1.0,Nabeul
490000.0,192.0,2,1.0,Nabeul
359999.0,116.0,2,1.0,Nabeul
490000.0,104.0,2,1.0,Nabeul
380000.0,110.0,2,1.0,Nabeul
240000.0,117.0,2,1.0,Ben Arous
260000.0,64.0,1,1.0,Nabeul
670000.0,354.0,3,2.0,Nabeul
340000.0,156.0,3,2.0,Tunis
135000.0,61.0,1,1.0,Nabeul
180000.0,45.0,1,1.0,Nabeul
330000.0,230.0,4,2.0,tunis
390000.0,120.0,2,2.0,Tunis
325000.0,120.0,2,1.0,Ariana
360000.0,103.0,2,2.0,Tunis
295000.0,72.0,1,1.0,Tunis
500000.0,200.0,4,2.0,Bizerte
620000.0,560.0,1,1.0,Tunis
280000.0,118.0,2,1.0,Tunis
480000.0,105.0,2,2.0,Tunis
244000.0,46.0,1,1.0,Ariana
600000.0,270.0,3,3.0,Ariana
250000.0,109.0,2,1.0,Tunis
860000.0,160.0,3,3.0,Ariana
529996.0,300.0,4,2.0,Tunis
285000.0,60.0,2,1.0,Tunis
295000.0,200.0,6,3.0,La Manouba
480000.0,400.0,4,1.0,Ben Arous
260000.0,120.0,2,1.0,Tunis
480000.0,125.4,2,2.0,Sousse
95000.0,85.0,2,1.0,Ben Arous
260000.0,100.0,3,1.0,Tunis
530000.0,118.0,2,1.0,Sousse
275000.0,81.0,1,1.0,tunis
325000.0,89.0,2,2.0,tunis
317000.0,152.0,3,2.0,tunis
495000.0,129.0,3,2.0,ariana
1200000.0,690.0,7,2.0,La Manouba
86000.0,220.0,2,1.0,Tunis
175000.0,80.0,2,1.0,Sousse
244999.0,145.0,3,1.0,Gabès
190000.0,101.0,4,1.0,Tunis
85000.0,160.0,3,2.0,Nabeul
345000.0,75.0,1,1.0,tunis
350000.0,128.0,4,3.0,Sousse
460000.0,153.0,3,2.0,Sousse
160000.0,50.0,1,1.0,Sousse
270000.0,110.0,2,1.0,Sousse
90000.0,79.0,2,1.0,Sfax
680000.0,217.0,3,1.0,La Manouba
195000.0,100.0,2,1.0,La Manouba
320000.0,83.0,1,1.0,Nabeul
300000.0,200.0,3,1.0,Tunis
980000.0,480.0,4,1.0,Ben Arous
310000.0,135.0,3,1.0,tunis
395000.0,106.0,3,2.0,Tunis
100000.0,100.0,3,1.0,Tunis
80000.0,85.0,2,1.0,Sousse
950000.0,450.0,5,5.0,Sousse
1700000.0,616.0,8,3.0,Ariana
570000.0,110.0,2,1.0,Monastir
350000.0,135.0,2,1.0,Sousse
350000.0,139.0,2,2.0,tunis
310000.0,117.0,3,1.0,tunis
780000.0,380.0,5,3.0,Ben Arous
240000.0,116.0,2,1.0,Sousse
290000.0,100.0,2,1.0,Nabeul
190000.0,115.0,2,1.0,Ariana
430000.0,671.0,4,1.0,Ben Arous
1250000.0,500.0,5,3.0,tunis
180000.0,140.0,4,1.0,Ben Arous
320000.0,130.0,3,2.0,Ariana
650000.0,500.0,4,4.0,Ariana
217000.0,98.0,2,1.0,Monastir
120000.0,66.0,2,1.0,tunis
171000.0,68.0,1,1.0,Tunis
135000.0,125.0,3,1.0,tunis
470000.0,292.0,6,2.0,Nabeul
680000.0,500.0,5,3.0,Sfax
259000.0,120.0,2,2.0,Sousse
200000.0,56.0,1,1.0,Sousse
310000.0,114.0,2,2.0,tunis
159000.0,63.0,2,1.0,tunis
360000.0,140.0,3,1.0,Tunis
600000.0,158.0,3,2.0,Tunis
195000.0,161.0,4,1.0,Tunis
