price,superficie,bains,chambres
280000.0,83.0,1,2
830000.0,400.0,4,4
890000.0,500.0,4,4
1180000.0,446.0,4,4
106000.0,50.0,1,1
340000.0,116.0,2,2
85000.0,50.0,1,1
320000.0,180.0,2,5
250000.0,80.0,1,2
630000.0,107.0,1,2
255000.0,110.0,2,3
120000.0,65.0,1,2
390000.0,140.0,2,5
592000.0,170.69,2,2
265000.0,72.0,1,1
300000.0,103.0,1,2
780000.0,200.0,3,3
250000.0,190.0,1,3
600000.0,175.0,1,0
150000.0,65.0,1,1
260000.0,115.0,1,3
690000.0,300.0,2,6
430000.0,220.0,2,2
310000.0,180.0,2,4
470000.0,130.0,2,2
270000.0,200.0,2,7
350000.0,100.0,1,3
180000.0,170.0,1,4
420000.0,105.0,1,2
210000.0,110.0,1,2
270000.0,94.0,1,2
680000.0,307.0,3,3
135000.0,80.0,1,2
1300000.0,240.0,4,3
185000.0,73.0,1,2
1900000.0,598.0,2,8
350000.0,120.0,2,3
400000.0,150.0,1,0
245000.0,98.0,1,2
395000.0,161.0,2,2
235000.0,91.0,1,2
370000.0,147.0,3,3
435000.0,168.0,3,4
950000.0,580.0,3,7
430000.0,160.0,2,4
200000.0,57.0,1,1
265000.0,64.0,1,1
870000.0,260.0,4,4
600000.0,212.0,2,3
600000.0,160.0,3,4
160000.0,70.0,1,2
230000.0,117.0,2,2
178000.0,150.0,1,3
160000.0,100.0,1,2
270000.0,220.0,1,3
125000.0,60.0,1,1
1700000.0,465.0,5,5
435000.0,165.0,2,4
285000.0,100.0,1,3
228000.0,70.0,1,1
220000.0,145.0,1,3
325000.0,135.0,1,3
320000.0,83.0,1,1
720000.0,300.0,2,4
115000.0,110.0,1,2
240000.0,100.0,1,2
185000.0,152.0,1,2
850000.0,386.0,5,5
179998.0,100.0,1,0
110000.0,52.0,1,-2
370000.0,214.0,2,2
279998.0,116.0,1,2
165000.0,95.0,1,2
178000.0,150.0,1,3
300000.0,227.0,2,4
460000.0,136.0,2,3
89000.0,70.0,1,2
265000.0,65.0,1,1
100000.0,110.0,2,3
250000.0,72.0,1,1
800000.0,413.0,2,6
270000.0,70.0,1,1
210000.0,88.0,1,2
115000.0,63.0,1,2
169000.0,175.0,1,2
200000.0,75.0,2,2
460000.0,120.0,1,2
315000.0,130.0,2,2
350000.0,92.0,1,2
200000.0,140.0,1,2
376758.0,105.47,1,0
205000.0,127.0,1,3
150000.0,150.0,1,2
280000.0,331.0,1,3
201000.0,57.45,1,1
230000.0,160.0,1,2
1050000.0,400.0,3,4
170000.0,80.0,0,0
240000.0,150.0,1,2
310000.0,101.0,1,2
120000.0,240.0,1,2
95000.0,122.0,1,1
180000.0,110.0,1,2
290000.0,111.0,2,2
580000.0,230.0,2,2
130000.0,150.0,1,2
145000.0,64.0,1,2
170000.0,75.0,1,2
180000.0,100.0,1,2
150000.0,100.0,1,3
259000.0,230.0,1,4
530000.0,271.0,2,3
600000.0,385.0,2,5
280000.0,61.0,2,3
750000.0,500.0,2,4
130000.0,80.0,1,2
779998.0,400.0,2,2
390000.0,111.0,1,3
400000.0,120.0,1,3
175000.0,120.0,2,2
130000.0,65.0,1,3
320000.0,135.0,1,3
340000.0,116.0,1,2
270000.0,208.0,2,3
410000.0,109.0,1,2
245000.0,76.0,1,1
530000.0,141.0,0,3
1200000.0,400.0,0,4
1050000.0,400.0,0,4
260000.0,46.0,0,1
760000.0,185.0,0,3
510000.0,190.0,0,3
225000.0,120.0,1,3
750000.0,244.0,4,5
1200000.0,547.0,4,5
460000.0,150.0,2,3
236000.0,60.0,1,1
90000.0,80.0,1,2
310000.0,100.0,1,2
165000.0,90.0,0,3
240000.0,71.0,1,1
500000.0,122.0,2,3
1150000.0,500.0,3,7
400000.0,269.0,1,3
380000.0,95.0,1,2
215000.0,72.0,1,1
900000.0,300.0,3,3
1900000.0,500.0,3,5
210000.0,100.0,1,2
95000.0,90.0,1,2
178000.0,85.0,1,2
360000.0,240.0,2,3
235000.0,60.0,1,1
450000.0,136.0,2,3
295000.0,264.0,150,3
740000.0,178.0,2,3
240000.0,120.0,2,2
258500.0,68.0,1,1
349999.0,220.0,1,4
205000.0,85.0,1,2
230000.0,130.0,2,4
540000.0,270.0,2,4
850000.0,250.0,1,3
100000.0,235.0,1,2
365000.0,118.0,2,2
150000.0,98.0,0,2
225000.0,125.0,1,0
280000.0,90.0,1,3
164000.0,120.0,1,4
340000.0,130.0,2,3
285000.0,100.0,2,2
340000.0,230.0,2,4
275000.0,128.0,2,3
870000.0,404.0,4,8
273000.0,90.0,1,2
209999.0,100.0,1,1
495000.0,160.0,2,0
640000.0,411.0,2,3
850000.0,416.0,1,6
316500.0,93.0,1,1
