price,superficie,chambres,bains,city
860000.0,160.0,3,3.0,ariana
529996.0,300.0,4,2.0,tunis
285000.0,60.0,2,1.0,tunis
295000.0,200.0,6,3.0,manouba
480000.0,400.0,4,1.0,ben arous
260000.0,120.0,2,1.0,tunis
480000.0,125.4,2,2.0,sousse
95000.0,85.0,2,1.0,ben arous
260000.0,100.0,3,1.0,tunis
530000.0,118.0,2,1.0,sousse
275000.0,81.0,1,1.0,tunis
325000.0,89.0,2,2.0,tunis
317000.0,152.0,3,2.0,tunis
495000.0,129.0,3,2.0,ariana
1200000.0,690.0,7,2.0,manouba
86000.0,220.0,2,1.0,tunis
175000.0,80.0,2,1.0,sousse
190000.0,101.0,4,1.0,tunis
85000.0,160.0,3,2.0,nabeul
345000.0,75.0,1,1.0,tunis
350000.0,128.0,4,3.0,sousse
460000.0,153.0,3,2.0,sousse
160000.0,50.0,1,1.0,sousse
270000.0,110.0,2,1.0,sousse
90000.0,79.0,2,1.0,sfax
680000.0,217.0,3,1.0,manouba
195000.0,100.0,2,1.0,manouba
320000.0,83.0,1,1.0,nabeul
300000.0,200.0,3,1.0,tunis
980000.0,480.0,4,1.0,ben arous
310000.0,135.0,3,1.0,tunis
395000.0,106.0,3,2.0,tunis
100000.0,100.0,3,1.0,tunis
80000.0,85.0,2,1.0,sousse
950000.0,450.0,5,5.0,sousse
1700000.0,616.0,8,3.0,ariana
570000.0,110.0,2,1.0,monastir
350000.0,135.0,2,1.0,sousse
350000.0,139.0,2,2.0,tunis
310000.0,117.0,3,1.0,tunis
780000.0,380.0,5,3.0,ben arous
190000.0,115.0,2,1.0,ariana
430000.0,671.0,4,1.0,ben arous
1250000.0,500.0,5,3.0,tunis
180000.0,140.0,4,1.0,ben arous
320000.0,130.0,3,2.0,ariana
650000.0,500.0,4,4.0,ariana
217000.0,98.0,2,1.0,monastir
120000.0,66.0,2,1.0,tunis
171000.0,68.0,1,1.0,tunis
135000.0,125.0,3,1.0,tunis
470000.0,292.0,6,2.0,nabeul
680000.0,500.0,5,3.0,sfax
259000.0,120.0,2,2.0,sousse
200000.0,56.0,1,1.0,sousse
310000.0,114.0,2,2.0,tunis
159000.0,63.0,2,1.0,tunis
360000.0,140.0,3,1.0,tunis
600000.0,158.0,3,2.0,tunis
195000.0,161.0,4,1.0,tunis
150000.0,106.0,4,2.0,tunis
178000.0,75.0,2,1.0,monastir
420000.0,153.0,3,2.0,ariana
860000.0,400.0,3,3.0,sousse
1350000.0,434.0,5,3.0,sousse
495000.0,500.0,3,2.0,sousse
155000.0,105.0,3,2.0,ariana
100000.0,280.0,2,1.0,nabeul
3099998.0,672.0,5,3.0,tunis
1990000.0,450.0,5,4.0,tunis
180000.0,236.0,2,1.0,medenine
275000.0,120.0,3,1.0,monastir
1600000.0,450.0,5,3.0,tunis
850000.0,450.0,7,4.0,tunis
1100000.0,600.0,10,5.0,tunis
125000.0,85.0,2,1.0,sousse
265000.0,97.0,2,1.0,tunis
335000.0,114.0,5,2.0,sousse
240000.0,95.0,2,1.0,nabeul
2000000.0,100.0,2,1.0,sousse
380000.0,112.0,3,1.0,ariana
820000.0,500.0,4,4.0,nabeul
750000.0,242.0,3,2.0,nabeul
180000.0,100.0,3,1.0,nabeul
730000.0,330.0,6,4.0,tunis
120000.0,49.0,1,1.0,tunis
630000.0,417.0,4,2.0,tunis
319000.0,120.0,2,1.0,ariana
152000.0,42.0,2,1.0,tunis
198000.0,100.0,3,2.0,tunis
700000.0,35.0,1,1.0,tunis
600000.0,90.0,3,1.0,manouba
155000.0,48.0,2,1.0,tunis
270000.0,130.0,2,1.0,ben arous
165000.0,50.0,1,1.0,ariana
178000.0,85.0,2,1.0,nabeul
159999.0,100.0,0,1.0,nabeul
540000.0,158.0,3,2.0,nabeul
240000.0,150.0,2,1.0,nabeul
3000000.0,150.0,3,1.0,nabeul
210000.0,182.0,3,1.0,nabeul
250000.0,100.0,1,1.0,nabeul
170000.0,100.0,3,1.0,manouba
890000.0,340.0,4,3.0,nabeul
190000.0,56.0,1,1.0,ariana
235000.0,120.0,2,1.0,nabeul
140000.0,65.0,2,1.0,tunis
105000.0,65.0,1,1.0,tunis
335000.0,108.0,2,1.0,sousse
270000.0,100.0,4,2.0,sousse
450000.0,355.0,4,2.0,ariana
170000.0,92.0,3,1.0,ariana
185000.0,92.0,3,1.0,ariana
115000.0,61.0,1,1.0,ariana
190000.0,134.0,4,2.0,ariana
1900000.0,502.0,5,4.0,ariana
695000.0,480.0,7,4.0,ariana
1000000.0,672.0,6,4.0,ariana
380000.0,441.0,5,3.0,ariana
230000.0,150.0,5,2.0,ariana
380000.0,107.0,2,2.0,nabeul
290000.0,69.0,1,1.0,nabeul
285000.0,120.0,3,1.0,ariana
255000.0,102.5,2,1.0,monastir
350000.0,140.0,6,2.0,tunis
255000.0,140.0,5,2.0,tunis
3200000.0,174.0,4,2.0,tunis
570000.0,128.0,2,2.0,nabeul
255000.0,104.0,2,1.0,ben arous
1000000.0,350.0,9,3.0,ben arous
178000.0,96.0,2,1.0,ben arous
2100000.0,450.0,8,1.0,tunis
160000.0,107.0,3,2.0,ben arous
340000.0,180.0,4,2.0,ben arous
450000.0,341.0,5,2.0,ben arous
375000.0,188.0,3,2.0,ben arous
150000.0,121.0,3,1.0,ben arous
380000.0,156.0,3,1.0,nabeul
260000.0,400.0,3,1.0,ariana
165000.0,95.0,3,1.0,tunis
180000.0,102.0,2,1.0,nabeul
235000.0,150.0,3,1.0,tunis
270000.0,160.0,3,1.0,tunis
315000.0,143.0,3,1.0,ben arous
250000.0,170.0,6,3.0,nabeul
120000.0,32.0,1,1.0,tunis
400000.0,110.0,3,2.0,nabeul
420000.0,170.0,3,1.0,ariana
210000.0,54.0,1,1.0,tunis
150000.0,78.0,2,1.0,tunis
110000.0,50.0,1,1.0,nabeul
190000.0,107.0,3,1.0,ariana
150000.0,60.0,1,1.0,nabeul
310000.0,140.0,3,1.0,tunis
280000.0,83.0,2,1.0,tunis
1400000.0,650.0,4,4.0,nabeul
830000.0,400.0,4,4.0,nabeul
890000.0,500.0,4,4.0,nabeul
1180000.0,446.0,4,4.0,nabeul
106000.0,50.0,1,1.0,manouba
340000.0,116.0,2,2.0,nabeul
85000.0,50.0,1,1.0,tunis
320000.0,180.0,5,2.0,tunis
1200000.0,200.0,4,2.0,ben arous
250000.0,80.0,2,1.0,monastir
630000.0,107.0,2,1.0,tunis
255000.0,110.0,3,2.0,tunis
250000.0,160.0,6,2.0,manouba
120000.0,65.0,2,1.0,tunis
390000.0,140.0,5,2.0,tunis
592000.0,170.69,2,2.0,ariana
265000.0,72.0,1,1.0,ariana
300000.0,103.0,2,1.0,sousse
780000.0,200.0,3,3.0,ariana
250000.0,190.0,3,1.0,ariana
600000.0,175.0,0,1.0,ariana
150000.0,65.0,1,1.0,tunis
260000.0,115.0,3,1.0,tunis
690000.0,300.0,6,2.0,nabeul
430000.0,220.0,2,2.0,nabeul
310000.0,180.0,4,2.0,ben arous
470000.0,130.0,2,2.0,nabeul
270000.0,200.0,7,2.0,tunis
350000.0,100.0,3,1.0,ariana
180000.0,170.0,4,1.0,sfax
420000.0,105.0,2,1.0,nabeul
210000.0,110.0,2,1.0,nabeul
680000.0,307.0,3,3.0,ariana
135000.0,80.0,2,1.0,tunis
1300000.0,240.0,3,4.0,tunis
185000.0,73.0,2,1.0,ariana
1900000.0,598.0,8,2.0,tunis
150000.0,100.0,3,2.0,ariana
200000.0,100.0,3,2.0,ariana
350000.0,120.0,3,2.0,ariana
400000.0,150.0,0,1.0,tunis
245000.0,98.0,2,1.0,tunis
395000.0,161.0,2,2.0,ariana
235000.0,91.0,2,1.0,tunis
370000.0,147.0,3,3.0,ariana
435000.0,168.0,4,3.0,ariana
430000.0,160.0,4,2.0,ariana
1800000.0,670.0,6,2.0,ariana
200000.0,57.0,1,1.0,tunis
265000.0,64.0,1,1.0,nabeul
870000.0,260.0,4,4.0,tunis
600000.0,212.0,3,2.0,ariana
600000.0,160.0,4,3.0,tunis
160000.0,70.0,2,1.0,ben arous
230000.0,117.0,2,2.0,nabeul
178000.0,150.0,3,1.0,nabeul
160000.0,100.0,2,1.0,nabeul
270000.0,220.0,3,1.0,tunis
125000.0,60.0,1,1.0,nabeul
1700000.0,465.0,5,5.0,ariana
435000.0,165.0,4,2.0,ariana
285000.0,100.0,3,1.0,tunis
228000.0,70.0,1,1.0,ariana
220000.0,145.0,3,1.0,nabeul
720000.0,300.0,4,2.0,nabeul
115000.0,110.0,2,1.0,nabeul
185000.0,152.0,2,1.0,nabeul
